step,loss,kb,saturation,perfect_rate
0,0.7236753702163696,0.0,0.7482231406111782,0.0
15,0.46710214018821716,0.3913261294364929,0.7479987833361703,0.00139999995008111
30,0.3705787658691406,0.2711625099182129,0.7479552513275868,0.1581999957561493
45,0.3098895847797394,0.20035913586616516,0.7481863058346844,0.6873999834060669
60,0.2622045576572418,0.160210520029068,0.7484346615246807,0.9495999813079834
75,0.22424040734767914,0.13851378858089447,0.7489257918779317,0.9937999844551086
90,0.19200614094734192,0.14093026518821716,0.7495547735916976,0.998199999332428
105,0.16473887860774994,0.12687677145004272,0.7502021726937105,0.998199999332428
120,0.14836882054805756,0.12160607427358627,0.7508255733807349,0.998199999332428
135,0.12656927108764648,0.11889060586690903,0.7514830183308824,0.998199999332428
150,0.11181484162807465,0.11652220785617828,0.7521131162499965,0.998199999332428
165,0.09981006383895874,0.1261328160762787,0.7528542766012664,0.998199999332428
180,0.08797789365053177,0.12067608535289764,0.7534140535834377,0.998199999332428
195,0.07788301259279251,0.11049342155456543,0.7540324313463947,0.998199999332428
210,0.06941183656454086,0.10533545166254044,0.754673691318992,0.998199999332428
225,0.06446392834186554,0.10422054678201675,0.7552552343054552,0.998199999332428
240,0.05785711482167244,0.10965491831302643,0.7558071978501885,0.998199999332428
255,0.05196206644177437,0.111103855073452,0.7563959961714156,0.998199999332428
270,0.048697881400585175,0.0995386615395546,0.756959121769632,0.998199999332428
285,0.04381106421351433,0.10090676695108414,0.7574703438191525,0.998199999332428
300,0.04067559540271759,0.09293004870414734,0.757997192743549,0.998199999332428
315,0.03773033246397972,0.09321819245815277,0.7584235831865989,0.998199999332428
330,0.0343715138733387,0.09815408289432526,0.7589677332938941,0.9983999729156494
345,0.03185855224728584,0.08803551644086838,0.7594493759016846,0.9985999464988708
360,0.0294035691767931,0.0827198252081871,0.7598735339340379,0.998199999332428
375,0.027635177597403526,0.08451595157384872,0.7601347259855395,0.9983999729156494
390,0.025789370760321617,0.0832962617278099,0.7605661393526567,0.9983999729156494
405,0.024288687855005264,0.09859249740839005,0.7608831416715733,0.9983999729156494
420,0.02272694557905197,0.09289606660604477,0.7611967953744451,0.9985999464988708
435,0.021222786977887154,0.08315515518188477,0.761579095706237,0.9987999796867371
450,0.01947125606238842,0.075819231569767,0.7619708837834896,0.9987999796867371
465,0.018870670348405838,0.07099924981594086,0.7622761659462491,0.9993999600410461
480,0.017944855615496635,0.07532254606485367,0.7626255382202664,0.9991999864578247
495,0.01605912111699581,0.06929467618465424,0.7628856140664197,0.9993999600410461
510,0.015414847992360592,0.07226704061031342,0.7632288472110215,0.9991999864578247
525,0.01476909127086401,0.06494660675525665,0.7635882653331734,0.9989999532699585
540,0.014115964062511921,0.07441660761833191,0.7637869498851704,0.9991999864578247
555,0.016499821096658707,0.09050141274929047,0.7640548391687618,0.9551999568939209
570,0.013955031521618366,0.1329580694437027,0.7644103505721948,0.9973999857902527
585,0.013626187108457088,0.10209561884403229,0.7645147157722606,0.9989999532699585
600,0.012095339596271515,0.08771297335624695,0.7647005639627522,0.9991999864578247
615,0.01098584569990635,0.06827215850353241,0.7649215726217152,0.9989999532699585
630,0.010832693427801132,0.06039053946733475,0.765201740164138,0.9993999600410461
645,0.010349360294640064,0.07191355526447296,0.7653775425064949,0.9995999932289124
660,0.009500403888523579,0.06579818576574326,0.7656007835761545,1.0
