weight_gain,isomorphic_error,stage
0.01,0.5831266755647164,step_0
0.01090909090909091,0.46160383249818293,step_0
0.011818181818181818,0.5834489781294531,step_0
0.012727272727272728,0.5412653646442689,step_0
0.013636363636363637,0.39572954918761133,step_0
0.014545454545454545,0.43066841371605696,step_0
0.015454545454545455,0.40622596047205156,step_0
0.016363636363636365,0.37860471612911856,step_0
0.017272727272727273,0.4118424632614073,step_0
0.01818181818181818,0.6192759226726879,step_0
0.019090909090909092,0.44852706122041947,step_0
0.020000000000000004,0.546674623105025,step_0
0.020909090909090912,0.5221092342236372,step_0
0.02181818181818182,0.5468401779660219,step_0
0.022727272727272728,0.47531224935100924,step_0
0.023636363636363636,0.35693085111793904,step_0
0.024545454545454547,0.49556003093270373,step_0
0.02545454545454546,0.6339737958505117,step_0
0.026363636363636367,0.4116651366894315,step_0
0.027272727272727275,0.43908272692226896,step_0
0.028181818181818183,0.44445632735452917,step_0
0.02909090909090909,0.4684893797357997,step_0
0.030000000000000006,0.7085189760789786,step_0
0.030909090909090914,0.5623796474396769,step_0
0.03181818181818182,0.5647701348467449,step_0
0.03272727272727273,0.5619287556147469,step_0
0.03363636363636364,0.4859633029762838,step_0
0.034545454545454546,0.6983909486940055,step_0
0.03545454545454546,0.5130032172689578,step_0
0.03636363636363637,0.4741406284363834,step_0
0.03727272727272728,0.6094059274497579,step_0
0.038181818181818185,0.4279591574638896,step_0
0.03909090909090909,0.5625305945889375,step_0
0.04,0.396953948929166,step_0
0.040909090909090916,0.45572930382321836,step_0
0.041818181818181824,0.47725941430185875,step_0
0.04272727272727273,0.24680868573298947,step_0
0.04363636363636364,0.589757721704205,step_0
0.044545454545454555,0.5929763401430538,step_0
0.04545454545454546,0.6690987502946084,step_0
0.04636363636363637,0.39971635212446155,step_0
0.04727272727272728,0.5018212723560814,step_0
0.04818181818181819,0.4955604121351937,step_0
0.049090909090909095,0.4804811029230692,step_0
0.05000000000000001,0.4076082118498614,step_0
0.05090909090909092,0.5679064473324533,step_0
0.051818181818181826,0.4600279938836077,step_0
0.052727272727272734,0.4549861018681439,step_0
0.05363636363636364,0.6959444948916127,step_0
0.05454545454545455,0.6375634337833311,step_0
