epoch,lstm_loss,lstm_acc,lstm_perfect,lstm_kb,transformer_loss,transformer_acc,transformer_perfect,transformer_kb
23,0.006498507539311926,0.999795138835907,0.998199999332428,0.6689591465838021,0.0007805859078993429,1.0,1.0,0.31449724772197385
24,0.006078826259445023,0.999795138835907,0.998199999332428,0.6409114799898816,0.0007178922389839982,1.0,1.0,0.363792153518105
25,0.005697741164817466,0.999795138835907,0.998199999332428,0.592121955287439,0.000659795028639508,1.0,1.0,0.26613024560900556
26,0.005365196332797871,0.999795138835907,0.998199999332428,0.5643255000250065,0.0006100135157117853,1.0,1.0,0.2621061242458893
27,0.005042101581533392,0.999795138835907,0.998199999332428,0.5427296138077509,0.0005669431680733257,1.0,1.0,0.27561874240983286
28,0.004763483422415869,0.999795138835907,0.998199999332428,0.5289591343971551,0.0005282927502144325,1.0,1.0,0.3367645378593096
29,0.004504645425636131,0.999795138835907,0.998199999332428,0.5136926084232982,0.0004893803847832484,1.0,1.0,0.28001417709287324
30,0.004272735354539987,0.999795138835907,0.998199999332428,0.48190776763658505,0.0004559133503888104,1.0,1.0,0.20618422226072397
31,0.004052843163917969,0.999795138835907,0.998199999332428,0.4637129239636124,0.00043826392656928667,1.0,1.0,0.8808198904511073
32,0.0038536770297242355,0.999795138835907,0.998199999332428,0.4301074777904432,0.00040113244567428145,1.0,1.0,0.2840112291644026
33,0.003663580288161506,0.999795138835907,0.998199999332428,0.3973384360942873,0.0003744957892147748,1.0,1.0,0.16348670958214484
34,0.0034964120453661747,0.999795138835907,0.998199999332428,0.4004073626074387,0.00036175570509455225,1.0,1.0,1.002776419238657
35,0.003339295645614525,0.999795138835907,0.998199999332428,0.3435167933093908,0.0003356931979084635,1.0,1.0,0.37792796905794646
36,0.003190467769915874,0.999795138835907,0.998199999332428,0.3450633084976289,0.0003158208516028312,1.0,1.0,0.24492842462478137
37,0.0030535385146871342,0.999795138835907,0.998199999332428,0.29453704554543947,0.0002960070039148445,1.0,1.0,0.13960651142024716
38,0.002930136375479751,0.999795138835907,0.998199999332428,0.2947041654479108,0.0002840443233678768,1.0,1.0,0.5257774252514302
39,0.0028158509069018895,0.999795138835907,0.998199999332428,0.2741799535779137,0.0002745882131614246,1.0,1.0,0.6519191692790152
40,0.0026999184080549665,0.999795138835907,0.998199999332428,0.2847918001116341,0.00025906777596688485,1.0,1.0,0.4440277349113373
41,0.002593027199949469,0.999795138835907,0.998199999332428,0.25171174103707017,0.000241905285998269,1.0,1.0,0.16995038279316077
42,0.0024986275860497185,0.999795138835907,0.998199999332428,0.24515817734027223,0.00022873481058770115,1.0,1.0,0.11837709847321776
43,0.002409372440687529,0.999795138835907,0.998199999332428,0.2336848946615646,0.00021721054711290548,1.0,1.0,0.09102060607335005
